num_exp,departamento,localidad,barrio,direccion,superficie,fecha_inic,fecha_fin,estado,lat,lng,avance_obra,clasificacion,criterio,tipo_vivienda,cant_dormitorios,observacion,id_familia,representante,cuit_org,nivel_riesgo,cluster,dias_activa
SIM-2026-0041,Capital,Santiago del Estero,Los Aromos,Calle Buenos Aires N° 1813,54,29-09-2025,19-05-2026,Finalizada,-27.780761,-64.277369,100,2a,Inclusion,Rural,2,,41,"Gonzalez, Julia",30-59804127-3,bajo,,232
SIM-2023-0042,Banda,La Banda,Santa Rosa,Diagonal Merlo N° 5624,59,17-05-2026,,Avanzada,-27.760233,-64.229437,83,1a,Inclusion,Rural,2,,42,"Lopez, Nicolas",30-71782995-2,bajo,,30
SIM-2025-0043,Aguirre,Nueva Esperanza,Villa Luján,Av. G. Brown N° 53,45,14-12-2025,,Avanzada,-27.66983,-62.428193,47,4b,Otro,Urbana,1,,43,"Rodriguez, Martina",30-68902314-5,medio,,184
SIM-2025-0044,Figueroa,Suncho Corral,Villa Luján,Av. Pte. Perón N° 887,44,23-12-2025,,Avanzada,-28.567063,-63.470912,47,2a,Inclusion,Rural,2,,44,"Castillo, Isabel",30-68902314-5,medio,,175
SIM-2026-0045,Choya,Frías,Los Aromos,Avenida J.B. Alberdi N° 111,38,23-02-2025,03-09-2025,Adjudicada,-28.667121,-65.128475,100,2a,Inclusion,Urbana,2,,45,"Sanchez, Tiziano Benjamin",30-59804127-3,bajo,,192
SIM-2024-0046,Choya,Frías,La Reducción,Blv. 5 N° 92,42,12-02-2026,06-05-2026,Adjudicada,-28.620101,-65.151099,100,5d,Exclusion,Rural,3,,46,"Benitez, Vicente",30-59804127-3,bajo,,83
SIM-2025-0047,Capital,Santiago del Estero,Norte,Calle Salta N° 336,46,09-08-2025,14-11-2025,Adjudicada,-27.780357,-64.283156,100,2a,Inclusion,Urbana,3,,47,"Perez, Lola",,bajo,,97
SIM-2023-0048,Moreno,Quimilí,FONAVI,Diagonal 6 N° 26,45,02-07-2025,29-01-2026,Finalizada,-27.614471,-62.441935,92,2b,Inclusion,Rural,2,,48,"Fernandez, Martina",30-71782995-2,bajo,,211
SIM-2025-0049,Jiménez,Añatuya,Sur,Diagonal Comodoro Rivadavia N° 114,35,31-10-2024,20-08-2025,Finalizada,-28.455322,-62.826927,100,4c,Otro,Rural,2,,49,"Arias, Valentino",30-59804127-3,bajo,,293
SIM-2025-0050,Silípica,Clodomira,La Reducción,Calle Merlo N° 544,46,28-04-2025,04-08-2025,Adjudicada,-27.594768,-64.123605,100,5b,Exclusion,Urbana,2,,50,"Medina, Guillermina",30-59804127-3,bajo,,98
SIM-2025-0051,Guasayán,El Charco,Norte,Avenida Viedma N° 289,39,24-10-2025,12-03-2026,Finalizada,-28.059491,-65.016764,100,4a,Otro,Rural,2,,51,"Gonzalez, Thiago Gabriel",30-59804127-3,bajo,,139
SIM-2023-0052,Silípica,Clodomira,San Martín,Boulevard J.B. Alberdi N° 74,39,09-10-2024,13-03-2025,Finalizada,-27.566819,-64.127725,100,OT,Otro,Urbana,3,,52,"Castillo, Ludmila",30-68902314-5,bajo,,155
SIM-2026-0053,Mitre,Bandera,Los Aromos,Boulevard Comodoro Rivadavia N° 388,36,21-06-2025,07-10-2025,Finalizada,-29.240416,-62.259471,100,2a,Inclusion,Rural,2,,53,"Medina, Catalina",30-59804127-3,bajo,,108
SIM-2025-0054,Capital,Santiago del Estero,Villa Jardín,Boulevard 9 N° 551,50,12-05-2026,,Avanzada,-27.783182,-64.278544,85,3a,Inclusion,Urbana,2,,54,"Ojeda, Juan Pablo",30-71782995-2,bajo,,35
SIM-2025-0055,Robles,Fernández,Autonomía,Boulevard Bahía Blanca N° 9638,51,10-09-2025,11-12-2025,Adjudicada,-27.906145,-63.901772,100,2a,Inclusion,Rural,1,,55,"Garcia, Juan Ignacio",30-59804127-3,bajo,,92
SIM-2025-0056,Copo,Monte Quemado,,Calle San Luis N° 42,57,15-05-2025,,Iniciada,-25.79257,-62.816203,7,2b,Inclusion,Urbana,2,,56,"Cabrera, Santino",30-68902314-5,alto,,397
SIM-2025-0057,Capital,Santiago del Estero,Malvinas,Diagonal Alem N° 379,38,13-02-2025,,Avanzada,-27.799417,-64.274567,72,1a,Inclusion,Rural,2,,57,"Paez, Francisco",30-71782995-2,medio,,488
SIM-2026-0058,Robles,Fernández,25 de Mayo,Av. Saavedra N° 951,46,26-10-2025,,Iniciada,-27.941685,-63.888388,4,2a,Inclusion,Urbana,2,,58,"Gonzalez, Morena",30-68902314-5,alto,,233
SIM-2024-0059,General Taboada,Añatuya,Palermo,Diag. Mitre N° 531,44,20-01-2026,02-04-2026,Finalizada,-28.46602,-62.814111,81,2a,Inclusion,Urbana,2,,59,"Lucero, Alma",30-68902314-5,bajo,,72
SIM-2025-0060,Jiménez,Añatuya,FONAVI,Blv. Formosa N° 497,63,17-05-2026,,Avanzada,-28.433836,-62.845764,66,4b,Otro,Rural,1,,60,"Bravo, Lucas Ezequiel",30-71782995-2,bajo,,30
SIM-2025-0061,Silípica,Clodomira,Villa Hogar,Avenida Merlo N° 4282,37,26-04-2026,,Avanzada,-27.559738,-64.148429,59,5c,Exclusion,Urbana,2,,61,"Figueroa, Pilar",30-71782995-2,bajo,,51
SIM-2025-0062,Capital,Santiago del Estero,Centenario,Camino 1 N° 425,49,27-03-2025,,Iniciada,-27.786315,-64.265022,12,2a,Inclusion,Rural,1,,62,"Garcia, Maria Victoria",,alto,,446
SIM-2025-0063,Ojo de Agua,Ojo de Agua,Santa Rosa,Diagonal Catamarca N° 66,38,31-01-2025,,Iniciada,-29.500482,-63.698311,12,4b,Otro,Urbana,3,,63,"Garcia, Nicolas",30-68902314-5,alto,,501
SIM-2026-0064,Banda,La Banda,Centenario,Calle Santiago del Estero N° 4139,50,01-06-2026,,Avanzada,-27.762267,-64.248037,59,2a,Inclusion,Rural,3,,64,"Gonzalez, Mateo",30-68902314-5,bajo,,15
SIM-2024-0065,Capital,Santiago del Estero,Villa Jardín,Blv. La Plata N° 938,45,13-03-2025,21-07-2025,Adjudicada,-27.791146,-64.283423,100,2b,Inclusion,Rural,3,,65,"Gomez, Agustín",30-59804127-3,bajo,,130
SIM-2025-0066,Banda,La Banda,Villa Luján,Diagonal Güemes N° 742,45,17-11-2025,01-03-2026,Adjudicada,-27.728064,-64.255909,100,OT,Otro,Urbana,1,,66,"Carrizo, Joaquin",30-59804127-3,bajo,,104
SIM-2026-0067,Banda,La Banda,25 de Mayo,Av. Saavedra N° 237,47,22-09-2025,14-01-2026,Adjudicada,-27.733952,-64.260573,100,2a,Inclusion,Urbana,2,,67,"Rodriguez, Valentina",30-59804127-3,bajo,,114
SIM-2025-0068,Choya,Frías,Centenario,Calle J.J. Castelli N° 198,51,27-12-2025,26-03-2026,Adjudicada,-28.637906,-65.117505,100,2a,Inclusion,Urbana,2,,68,"Guzman, Juana",30-59804127-3,bajo,,89
SIM-2025-0069,Silípica,Clodomira,Sur,Av. San Miguel de Tucumán N° 206,48,29-08-2025,04-12-2025,Adjudicada,-27.595798,-64.149881,100,1a,Inclusion,Urbana,3,,69,"Romero, Catalina",30-59804127-3,bajo,,97
SIM-2024-0070,Banda,La Banda,Los Aromos,Camino Alem N° 22,71,10-09-2025,02-01-2026,Adjudicada,-27.725752,-64.230729,100,3a,Inclusion,Urbana,2,,70,"Rios, Luisana",30-59804127-3,bajo,,114
SIM-2025-0071,Banda,La Banda,Sur,Boulevard Ushuaia N° 2670,51,05-01-2026,26-04-2026,Finalizada,-27.724724,-64.21956,100,5d,Exclusion,Rural,2,,71,"Gonzalez, Juan Manuel",30-59804127-3,bajo,,111
SIM-2025-0072,Moreno,Quimilí,25 de Mayo,Boulevard 7 N° 7546,49,08-04-2025,23-08-2025,Adjudicada,-27.626275,-62.418675,100,OT,Otro,Urbana,2,,72,"Morales, Bianca",30-71782995-2,bajo,,137
SIM-2025-0073,Capital,Santiago del Estero,Villa Hogar,Camino Catamarca N° 9392,41,23-01-2025,16-08-2025,Adjudicada,-27.808911,-64.265263,100,2a,Inclusion,Económica,3,,73,"Nuñez, Giuliana",30-59804127-3,bajo,,205
SIM-2026-0074,Silípica,Clodomira,Villa Jardín,Av. 2 N° 95,31,03-03-2026,,Avanzada,-27.569526,-64.091336,40,2a,Inclusion,Urbana,1,,74,"Farias, Valentina Jazmin",30-71782995-2,medio,,105
SIM-2024-0075,Jiménez,Añatuya,Los Ejidos,Calle J.B. Alberdi N° 564,41,09-07-2025,,Iniciada,-28.447647,-62.870029,11,1a,Inclusion,Rural,2,,75,"Herrera, Santino Nicolas",30-68902314-5,alto,,342
SIM-2025-0076,Moreno,Quimilí,Villa Jardín,Diagonal Mendoza N° 2733,36,26-08-2025,,Iniciada,-27.618399,-62.411843,17,4c,Otro,Urbana,1,,76,"Moyano, Isabella",30-68902314-5,alto,,294
SIM-2023-0077,Jiménez,Añatuya,Palermo,Diagonal 8 N° 205,39,24-05-2026,,Avanzada,-28.472875,-62.828767,76,4c,Otro,Económica,2,,77,"Gonzalez, Juan Cruz",30-71782995-2,bajo,,23
SIM-2026-0078,Capital,Santiago del Estero,Centenario,Blv. 6 N° 442,39,23-08-2025,,Iniciada,-27.791104,-64.26018,19,1a,Inclusion,Urbana,2,,78,"Fernandez, Victoria",30-68902314-5,alto,,297
SIM-2025-0079,Salavina,Los Telares,Palermo,Av. Mitre N° 3656,30,06-11-2025,01-02-2026,Adjudicada,-29.182409,-63.508589,100,2a,Inclusion,Urbana,3,,79,"Gutierrez, Morena Jazmin",30-59804127-3,bajo,,87
SIM-2025-0080,Jiménez,Añatuya,Centenario,Calle 180 B N° 934,50,06-10-2025,,Avanzada,-28.456644,-62.852912,47,5f,Otro,Urbana,2,,80,"Diaz, Dylan Benjamin",30-68902314-5,medio,,253
SIM-2025-0081,Banda,La Banda,25 de Mayo,Calle Paraná N° 510,48,09-05-2025,12-02-2026,Finalizada,-27.749265,-64.242065,100,2a,Inclusion,Urbana,2,,81,"Rodriguez, Uma",30-59804127-3,bajo,,279
SIM-2026-0082,Capital,Santiago del Estero,Norte,Calle Salta N° 956,42,10-05-2026,,Iniciada,-27.779416,-64.282605,17,4b,Otro,Rural,2,,82,"Rodriguez, Mateo",30-71782995-2,bajo,,37
SIM-2024-0083,Choya,Frías,La Reducción,Av. Alvear N° 2314,56,31-01-2026,,Avanzada,-28.656549,-65.14876,44,2a,Inclusion,Económica,2,,83,"Lopez, Camila",30-68902314-5,medio,,136
SIM-2025-0084,Banda,La Banda,Centro,Calle Río Negro N° 98,50,27-06-2025,15-03-2026,Finalizada,-27.72771,-64.262696,100,1a,Inclusion,Urbana,2,,84,"Maldonado, Luca",30-59804127-3,bajo,,261
SIM-2025-0085,Silípica,Clodomira,4 de Junio,Diagonal La Pampa N° 174,33,11-12-2024,07-03-2025,Finalizada,-27.532801,-64.114416,100,2a,Inclusion,Económica,2,,85,"Molina, Clara",30-59804127-3,bajo,,86
SIM-2024-0086,Robles,Fernández,Villa Hogar,Avenida 4 N° 683,39,11-12-2024,,Iniciada,-27.935716,-63.864196,13,2a,Inclusion,Rural,3,,86,"Gimenez, Matias",30-71782995-2,alto,,552
SIM-2025-0087,Robles,Fernández,Autonomía,Calle Chubut N° 260,38,27-04-2026,,Avanzada,-27.919011,-63.873057,66,1a,Inclusion,Económica,3,,87,"Figueroa, Guadalupe",30-71782995-2,bajo,,50
SIM-2025-0088,Robles,Fernández,Villa Hogar,Av. Belgrano N° 8337,37,16-06-2024,06-01-2025,Finalizada,-27.928071,-63.945343,100,OT,Otro,Urbana,1,,88,"Herrera, Benjamin",30-59804127-3,bajo,,204
SIM-2025-0089,Silípica,Clodomira,Los Ejidos,Blv. Buenos Aires N° 5131,55,10-06-2025,,Iniciada,-27.575546,-64.15546,24,OT,Otro,Económica,2,,89,"Figueroa, Martina",,alto,,371
SIM-2024-0090,Silípica,Clodomira,25 de Mayo,Avenida 9 N° 61,45,27-06-2025,10-01-2026,Adjudicada,-27.596743,-64.140921,100,5a,Exclusion,Urbana,3,,90,"Ojeda, Bruno",30-59804127-3,bajo,,197
SIM-2025-0091,Ojo de Agua,Ojo de Agua,Catamarca,Blv. J.B. Alberdi N° 248,52,30-03-2025,,Iniciada,-29.483057,-63.722846,6,2a,Inclusion,Rural,1,,91,"Vera, Ian Ezequiel",30-68902314-5,alto,,443
SIM-2024-0092,Banda,La Banda,San Jorge,Diagonal 3 N° 995,47,19-11-2025,13-05-2026,Finalizada,-27.734816,-64.257667,87,2a,Inclusion,Económica,1,,92,"Roldan, Martina",30-71782995-2,bajo,,175
SIM-2024-0093,Capital,Santiago del Estero,Centro,Avenida Santa Fe N° 97,44,03-01-2026,,Avanzada,-27.791417,-64.271804,32,4b,Otro,Rural,2,,93,"Morales, Josefina",30-68902314-5,medio,,164
SIM-2024-0094,Capital,Santiago del Estero,FONAVI,Av. San Juan N° 859,49,18-10-2024,11-01-2025,Adjudicada,-27.801936,-64.258957,100,2a,Inclusion,Urbana,3,,94,"Bustos, Catalina",,bajo,,85
SIM-2024-0095,Robles,Fernández,San Martín,Diagonal 6 N° 326,59,14-09-2025,04-04-2026,Finalizada,-27.898452,-63.909281,100,1a,Inclusion,Urbana,1,,95,"Dominguez, Isabella",30-59804127-3,bajo,,202
SIM-2025-0096,Salavina,Los Telares,Los Ejidos,Diag. 1 N° 370,48,25-04-2026,,Avanzada,-29.256138,-63.522732,80,OT,Otro,Urbana,2,,96,"Medina, Lucas",30-71782995-2,bajo,,52
SIM-2024-0097,Capital,Santiago del Estero,Rivadavia,Avenida Güemes N° 9626,43,19-03-2025,12-08-2025,Adjudicada,-27.789942,-64.272209,100,5c,Exclusion,Económica,3,,97,"Gimenez, Olivia",30-59804127-3,bajo,,146
SIM-2024-0098,Robles,Fernández,Palermo,Blv. Merlo N° 9327,50,20-04-2026,,Avanzada,-27.935874,-63.897609,70,5b,Exclusion,Urbana,3,,98,"Gomez, Pilar",30-71782995-2,bajo,,57
SIM-2025-0099,Choya,Frías,Villa Jardín,Blv. 6 N° 769,50,11-10-2025,,Avanzada,-28.641574,-65.149472,75,5f,Otro,Urbana,2,,99,"Muñoz, Vicente",30-68902314-5,medio,,248
SIM-2025-0100,Capital,Santiago del Estero,San Martín,Av. Ciudad Autónoma de Buenos Aires N° 463,48,19-05-2026,,Avanzada,-27.789469,-64.246368,87,2a,Inclusion,Urbana,2,,100,"Molina, Agustin",30-71782995-2,bajo,,28
SIM-2026-0101,Robles,Fernández,Villa Luján,Calle Saavedra N° 925,49,18-03-2026,,Iniciada,-27.941922,-63.897083,19,3a,Inclusion,Rural,2,,101,"Martinez, Emilia",,bajo,,90
SIM-2025-0102,Salavina,Los Telares,Villa Luján,Calle Belgrano N° 18,45,31-03-2025,08-06-2025,Adjudicada,-29.210013,-63.520376,100,2a,Inclusion,Urbana,2,,102,"Ledesma, Santino",30-59804127-3,bajo,,69
SIM-2025-0103,Banda,La Banda,Palermo,Diagonal 7 N° 1873,48,29-05-2025,,Iniciada,-27.712002,-64.250648,9,4b,Otro,Rural,2,,103,"Acosta, Santino",30-68902314-5,alto,,383
SIM-2025-0104,Moreno,Quimilí,Malvinas,Av. Santa Fe N° 992,52,01-04-2026,,Avanzada,-27.641639,-62.416918,91,4a,Otro,Rural,3,,104,"Blanco, Octavio",30-71782995-2,bajo,,76
SIM-2023-0105,Capital,Santiago del Estero,Villa Hogar,Calle San Salvador de Jujuy N° 6724,53,09-09-2025,15-04-2026,Finalizada,-27.780143,-64.246357,84,1a,Inclusion,Rural,2,,105,"Sanchez, Thiago Nicolas",,bajo,,218
SIM-2025-0106,Banda,La Banda,25 de Mayo,Avenida Mendoza N° 867,42,23-03-2025,,Avanzada,-27.734622,-64.227725,68,2a,Inclusion,Rural,1,,106,"Moreno, Sofia",30-71782995-2,medio,,450
SIM-2026-0107,Aguirre,Nueva Esperanza,FONAVI,Boulevard 8 N° 929,45,07-05-2026,,Avanzada,-27.646165,-62.420343,75,5d,Exclusion,Urbana,1,,107,"Vargas, Dylan Benjamin",30-71782995-2,bajo,,40
SIM-2025-0108,General Taboada,Añatuya,Belgrano,Camino La Rioja N° 97,59,30-11-2025,,Iniciada,-28.460287,-62.843728,35,4b,Otro,Rural,2,,108,"Gonzalez, Emilia",30-68902314-5,medio,,198
SIM-2024-0109,Banda,La Banda,Palermo,Boulevard Formosa N° 8181,52,09-11-2024,,Iniciada,-27.753108,-64.261855,23,2a,Inclusion,Rural,2,,109,"Perez, Luisina",,alto,,584
SIM-2025-0110,Silípica,Clodomira,Centenario,Boulevard Córdoba N° 31,48,12-05-2025,,Iniciada,-27.55675,-64.121766,4,5c,Exclusion,Urbana,3,,110,"Escobar, Valentina ",30-68902314-5,alto,,400
SIM-2026-0111,Banda,La Banda,FONAVI,Calle La Plata N° 317,45,27-07-2025,22-11-2025,Adjudicada,-27.73522,-64.256151,100,1a,Inclusion,Económica,2,,111,"Perez, Francisco",30-59804127-3,bajo,,118
SIM-2025-0112,Robles,Fernández,Rivadavia,Av. 2 N° 702,43,07-01-2026,20-05-2026,Finalizada,-27.939189,-63.869448,100,5c,Exclusion,Rural,2,,112,"Gonzalez, Guadalupe",30-59804127-3,bajo,,133
SIM-2024-0113,Ojo de Agua,Ojo de Agua,Catamarca,Diagonal Santiago del Estero N° 6991,47,25-05-2026,,Avanzada,-29.523859,-63.702785,60,5c,Exclusion,Urbana,3,,113,"Gomez, Julian",30-71782995-2,bajo,,22
SIM-2024-0114,Capital,Santiago del Estero,Rivadavia,Avenida San Luis N° 29,46,07-05-2025,21-02-2026,Finalizada,-27.805147,-64.2758,88,3a,Inclusion,Económica,2,,114,"Romero, Alma Mia",,bajo,,290
SIM-2025-0115,Guasayán,El Charco,FONAVI,Diagonal 6 N° 4889,41,21-04-2026,,Avanzada,-28.059591,-65.032125,86,1a,Inclusion,Urbana,3,,115,"Flores, Lola",30-71782995-2,bajo,,56
SIM-2025-0116,General Taboada,Añatuya,Los Ejidos,Diagonal Salta N° 192,34,30-04-2026,,Avanzada,-28.466823,-62.855066,90,5f,Otro,Rural,2,,116,"Caceres, Bastian",30-71782995-2,bajo,,47
